cell_type	product_name	dose	n_cells	n_sig_deg
A549	Lenalidomide (CC-5013)	10.0	231	762
A549	Lenalidomide (CC-5013)	100.0	235	870
A549	Lenalidomide (CC-5013)	1000.0	216	849
A549	Lenalidomide (CC-5013)	10000.0	162	1390
A549	Linifanib (ABT-869)	10.0	208	1060
A549	Linifanib (ABT-869)	100.0	227	903
A549	Linifanib (ABT-869)	1000.0	233	893
A549	Linifanib (ABT-869)	10000.0	223	1136
A549	Lomustine 	10.0	192	1193
A549	Lomustine 	100.0	184	1323
A549	Lomustine 	1000.0	241	787
A549	Lomustine 	10000.0	171	1317
A549	Luminespib (AUY-922, NVP-AUY922)	10.0	201	1167
A549	Luminespib (AUY-922, NVP-AUY922)	100.0	146	2025
A549	Luminespib (AUY-922, NVP-AUY922)	1000.0	143	1993
A549	Luminespib (AUY-922, NVP-AUY922)	10000.0	187	1637
A549	M344	10.0	237	749
A549	M344	100.0	195	1045
A549	M344	1000.0	194	1608
A549	M344	10000.0	146	3785
A549	MC1568	10.0	167	1294
A549	MC1568	100.0	184	1319
A549	MC1568	1000.0	213	1294
A549	MC1568	10000.0	149	1862
A549	MK-0752	10.0	265	795
A549	MK-0752	100.0	228	954
A549	MK-0752	1000.0	223	1082
A549	MK-0752	10000.0	245	906
A549	MK-5108 (VX-689)	10.0	201	887
A549	MK-5108 (VX-689)	100.0	214	886
A549	MK-5108 (VX-689)	1000.0	214	931
A549	MK-5108 (VX-689)	10000.0	120	1290
A549	MLN8054	10.0	134	1489
A549	MLN8054	100.0	106	1517
A549	MLN8054	1000.0	78	2279
A549	MLN8054	10000.0	111	1535
A549	Maraviroc	10.0	221	811
A549	Maraviroc	100.0	191	1195
A549	Maraviroc	1000.0	195	1238
A549	Maraviroc	10000.0	240	643
A549	Meprednisone	10.0	226	686
A549	Meprednisone	100.0	218	874
A549	Meprednisone	1000.0	217	1008
A549	Meprednisone	10000.0	224	930
A549	Mercaptopurine (6-MP)	10.0	242	850
A549	Mercaptopurine (6-MP)	100.0	298	869
A549	Mercaptopurine (6-MP)	1000.0	245	790
A549	Mercaptopurine (6-MP)	10000.0	152	1879
A549	Mesna 	10.0	216	961
A549	Mesna 	100.0	212	1034
A549	Mesna 	1000.0	161	1390
A549	Mesna 	10000.0	229	836
A549	Mocetinostat (MGCD0103)	10.0	50	4120
A549	Mocetinostat (MGCD0103)	100.0	96	2532
A549	Mocetinostat (MGCD0103)	1000.0	181	1976
A549	Mocetinostat (MGCD0103)	10000.0	124	2734
A549	Momelotinib (CYT387)	10.0	203	796
A549	Momelotinib (CYT387)	100.0	230	988
A549	Momelotinib (CYT387)	1000.0	246	680
A549	Momelotinib (CYT387)	10000.0	128	949
A549	Motesanib Diphosphate (AMG-706)	10.0	212	1159
A549	Motesanib Diphosphate (AMG-706)	100.0	239	740
A549	Motesanib Diphosphate (AMG-706)	1000.0	217	872
A549	Motesanib Diphosphate (AMG-706)	10000.0	244	719
A549	NVP-BSK805 2HCl	10.0	211	720
A549	NVP-BSK805 2HCl	100.0	246	847
A549	NVP-BSK805 2HCl	1000.0	220	784
A549	NVP-BSK805 2HCl	10000.0	204	1096
A549	Navitoclax (ABT-263)	10.0	183	1571
A549	Navitoclax (ABT-263)	100.0	243	898
A549	Navitoclax (ABT-263)	1000.0	276	742
A549	Navitoclax (ABT-263)	10000.0	133	2505
A549	Nilotinib (AMN-107)	10.0	212	850
A549	Nilotinib (AMN-107)	100.0	201	1125
A549	Nilotinib (AMN-107)	1000.0	228	788
A549	Nilotinib (AMN-107)	10000.0	203	1096
A549	Nintedanib (BIBF 1120)	10.0	257	694
A549	Nintedanib (BIBF 1120)	100.0	268	897
A549	Nintedanib (BIBF 1120)	1000.0	243	909
A549	Nintedanib (BIBF 1120)	10000.0	179	1310
A549	Obatoclax Mesylate (GX15-070)	10.0	270	568
A549	Obatoclax Mesylate (GX15-070)	100.0	225	819
A549	Obatoclax Mesylate (GX15-070)	1000.0	247	709
A549	Obatoclax Mesylate (GX15-070)	10000.0	178	1680
A549	Ofloxacin	10.0	179	1273
A549	Ofloxacin	100.0	234	1232
A549	Ofloxacin	1000.0	167	1739
A549	Ofloxacin	10000.0	168	1894
A549	PCI-34051	10.0	169	1719
A549	PCI-34051	100.0	193	1507
A549	PCI-34051	1000.0	153	1925
A549	PCI-34051	10000.0	136	2218
A549	PD98059	10.0	213	958
A549	PD98059	100.0	231	799
A549	PD98059	1000.0	206	1248
A549	PD98059	10000.0	238	771
A549	PD173074	10.0	225	1054
A549	PD173074	100.0	238	721
A549	PD173074	1000.0	202	1089
A549	PD173074	10000.0	225	877
A549	PF-3845	10.0	183	1195
A549	PF-3845	100.0	201	922
A549	PF-3845	1000.0	208	1090
A549	PF-3845	10000.0	163	1347
A549	PF-573228	10.0	92	2173
A549	PF-573228	100.0	223	838
A549	PF-573228	1000.0	201	1013
A549	PF-573228	10000.0	144	764
A549	PFI-1 (PF-6405761)	10.0	184	1243
A549	PFI-1 (PF-6405761)	100.0	125	1815
A549	PFI-1 (PF-6405761)	1000.0	158	1764
A549	PFI-1 (PF-6405761)	10000.0	166	1794
A549	PHA-680632	10.0	131	1711
A549	PHA-680632	100.0	126	1927
A549	PHA-680632	1000.0	122	1845
A549	PHA-680632	10000.0	116	2027
A549	PJ34	10.0	213	882
A549	PJ34	100.0	193	1345
A549	PJ34	1000.0	207	1085
A549	PJ34	10000.0	183	973
A549	Panobinostat (LBH589)	10.0	198	2052
A549	Panobinostat (LBH589)	100.0	112	3794
A549	Panobinostat (LBH589)	1000.0	104	4311
A549	Panobinostat (LBH589)	10000.0	129	4255
A549	Patupilone (EPO906, Epothilone B)	10.0	83	2606
A549	Patupilone (EPO906, Epothilone B)	100.0	68	3405
A549	Patupilone (EPO906, Epothilone B)	1000.0	180	824
A549	Patupilone (EPO906, Epothilone B)	10000.0	176	752
A549	Pelitinib (EKB-569)	10.0	223	962
A549	Pelitinib (EKB-569)	100.0	204	1286
A549	Pelitinib (EKB-569)	1000.0	181	2009
A549	Pelitinib (EKB-569)	10000.0	169	2109
A549	Pirarubicin	10.0	184	1222
A549	Pirarubicin	100.0	182	1251
A549	Pirarubicin	1000.0	112	2221
A549	Pirarubicin	10000.0	106	2224
A549	Pracinostat (SB939)	10.0	196	961
A549	Pracinostat (SB939)	100.0	174	1407
A549	Pracinostat (SB939)	1000.0	191	2455
A549	Pracinostat (SB939)	10000.0	121	4115
A549	Prednisone 	10.0	213	910
A549	Prednisone 	100.0	218	978
A549	Prednisone 	1000.0	227	876
A549	Prednisone 	10000.0	208	919
A549	Quercetin	10.0	215	720
A549	Quercetin	100.0	228	1000
A549	Quercetin	1000.0	208	1040
A549	Quercetin	10000.0	198	1106
A549	Quisinostat (JNJ-26481585) 2HCl	10.0	171	3215
A549	Quisinostat (JNJ-26481585) 2HCl	100.0	122	3599
A549	Quisinostat (JNJ-26481585) 2HCl	1000.0	88	4059
A549	Quisinostat (JNJ-26481585) 2HCl	10000.0	96	4544
A549	RG108	10.0	218	923
A549	RG108	100.0	215	903
A549	RG108	1000.0	257	599
A549	RG108	10000.0	240	728
A549	Raltitrexed	10.0	204	745
A549	Raltitrexed	100.0	186	885
A549	Raltitrexed	1000.0	128	1758
A549	Raltitrexed	10000.0	189	2027
A549	Ramelteon	10.0	229	1028
A549	Ramelteon	100.0	288	799
A549	Ramelteon	1000.0	250	1051
A549	Ramelteon	10000.0	202	1084
A549	Regorafenib (BAY 73-4506)	10.0	210	862
A549	Regorafenib (BAY 73-4506)	100.0	228	889
A549	Regorafenib (BAY 73-4506)	1000.0	227	919
A549	Regorafenib (BAY 73-4506)	10000.0	96	3085
A549	Resminostat	10.0	202	820
A549	Resminostat	100.0	207	939
A549	Resminostat	1000.0	193	1084
A549	Resminostat	10000.0	148	3418
A549	Resveratrol	10.0	209	1053
A549	Resveratrol	100.0	133	1755
A549	Resveratrol	1000.0	164	1627
A549	Resveratrol	10000.0	157	1570
A549	Rigosertib (ON-01910)	10.0	216	724
A549	Rigosertib (ON-01910)	100.0	199	1141
A549	Rigosertib (ON-01910)	1000.0	87	2246
A549	Rigosertib (ON-01910)	10000.0	34	4427
A549	Roscovitine (Seliciclib,CYC202)	10.0	227	756
A549	Roscovitine (Seliciclib,CYC202)	100.0	212	977
A549	Roscovitine (Seliciclib,CYC202)	1000.0	206	1076
A549	Roscovitine (Seliciclib,CYC202)	10000.0	208	634
A549	Roxadustat (FG-4592)	10.0	103	2508
A549	Roxadustat (FG-4592)	100.0	162	1739
A549	Roxadustat (FG-4592)	1000.0	211	1489
A549	Roxadustat (FG-4592)	10000.0	172	1384
A549	Rucaparib (AG-014699,PF-01367338) phosphate	10.0	153	1467
A549	Rucaparib (AG-014699,PF-01367338) phosphate	100.0	70	3826
A549	Rucaparib (AG-014699,PF-01367338) phosphate	1000.0	146	1542
A549	Rucaparib (AG-014699,PF-01367338) phosphate	10000.0	91	1641
A549	Ruxolitinib (INCB018424)	10.0	208	1145
A549	Ruxolitinib (INCB018424)	100.0	84	2803
A549	Ruxolitinib (INCB018424)	1000.0	186	1246
A549	Ruxolitinib (INCB018424)	10000.0	186	1062
A549	S3I-201	10.0	215	994
A549	S3I-201	100.0	216	836
A549	S3I-201	1000.0	211	1211
A549	S3I-201	10000.0	218	958
A549	S-Ruxolitinib (INCB018424)	10.0	202	1129
A549	S-Ruxolitinib (INCB018424)	100.0	221	1034
A549	S-Ruxolitinib (INCB018424)	1000.0	241	711
A549	S-Ruxolitinib (INCB018424)	10000.0	220	690
A549	SB431542	10.0	167	1524
A549	SB431542	100.0	164	1527
A549	SB431542	1000.0	176	1446
A549	SB431542	10000.0	243	1083
A549	SGI-1776 free base	10.0	231	813
A549	SGI-1776 free base	100.0	213	990
A549	SGI-1776 free base	1000.0	215	850
A549	SGI-1776 free base	10000.0	173	1588
A549	SL-327	10.0	231	1148
A549	SL-327	100.0	177	1745
A549	SL-327	1000.0	181	2073
A549	SL-327	10000.0	196	2035
A549	SNS-314	10.0	130	1235
A549	SNS-314	100.0	135	1244
A549	SNS-314	1000.0	118	1511
A549	SNS-314	10000.0	145	1287
A549	SRT1720 HCl	10.0	197	1165
A549	SRT1720 HCl	100.0	234	845
A549	SRT1720 HCl	1000.0	222	968
A549	SRT1720 HCl	10000.0	195	1123
A549	SRT2104 (GSK2245840)	10.0	185	1547
A549	SRT2104 (GSK2245840)	100.0	184	1294
A549	SRT2104 (GSK2245840)	1000.0	180	1443
A549	SRT2104 (GSK2245840)	10000.0	181	1356
A549	SRT3025 HCl	10.0	154	1813
A549	SRT3025 HCl	100.0	149	1726
A549	SRT3025 HCl	1000.0	121	1922
A549	SRT3025 HCl	10000.0	125	1243
A549	Selisistat (EX 527)	10.0	187	1076
A549	Selisistat (EX 527)	100.0	176	1517
A549	Selisistat (EX 527)	1000.0	214	1055
